,day,LCLid,energy_sum
0,10/12/2012,MAC000002,7.098
1,10/13/2012,MAC000002,11.087
2,10/14/2012,MAC000002,13.223
3,10/15/2012,MAC000002,10.257
4,10/16/2012,MAC000002,9.769
5,10/17/2012,MAC000002,10.885
6,10/18/2012,MAC000002,10.751
7,10/19/2012,MAC000002,8.431
8,10/20/2012,MAC000002,17.3779999
9,10/21/2012,MAC000002,24.4900001
10,10/22/2012,MAC000002,18.885
11,10/23/2012,MAC000002,10.485
12,10/24/2012,MAC000002,15.5370001
13,10/25/2012,MAC000002,13.128
14,10/26/2012,MAC000002,15.065
15,10/27/2012,MAC000002,16.886
16,10/28/2012,MAC000002,19.6289999
17,10/29/2012,MAC000002,12.779
18,10/30/2012,MAC000002,13.961
19,10/31/2012,MAC000002,17.8220001
20,11/1/2012,MAC000002,12.209
21,11/2/2012,MAC000002,14.554
22,11/3/2012,MAC000002,14.347
23,11/4/2012,MAC000002,14.5069999
24,11/5/2012,MAC000002,15.0949999
25,11/6/2012,MAC000002,11.663
26,11/7/2012,MAC000002,13.137
27,11/8/2012,MAC000002,0.186
28,11/9/2012,MAC000002,16.722
29,11/10/2012,MAC000002,13.245
30,11/11/2012,MAC000002,10.699
31,11/12/2012,MAC000002,12.321
32,11/13/2012,MAC000002,10.264
33,11/14/2012,MAC000002,10.82
34,11/15/2012,MAC000002,9.808
35,11/16/2012,MAC000002,13.116
36,11/17/2012,MAC000002,9.77
37,11/18/2012,MAC000002,13.779
38,11/19/2012,MAC000002,10.147
39,11/20/2012,MAC000002,11.221
40,11/21/2012,MAC000002,10.637
41,11/22/2012,MAC000002,9.44
42,11/23/2012,MAC000002,10.051
43,11/24/2012,MAC000002,11.023
44,11/25/2012,MAC000002,10.545
45,11/26/2012,MAC000002,9.876
46,11/27/2012,MAC000002,10.978
47,11/28/2012,MAC000002,10.743
48,11/29/2012,MAC000002,10.771
49,11/30/2012,MAC000002,13.088
50,12/1/2012,MAC000002,12.783
51,12/2/2012,MAC000002,15.354
52,12/3/2012,MAC000002,10.167
53,12/4/2012,MAC000002,11.143
54,12/5/2012,MAC000002,11.714
55,12/6/2012,MAC000002,11.85
56,12/7/2012,MAC000002,13.2479999
57,12/8/2012,MAC000002,13.442
58,12/9/2012,MAC000002,11.3550001
59,12/10/2012,MAC000002,10.123
60,12/11/2012,MAC000002,12.859
61,12/12/2012,MAC000002,11.971
62,12/13/2012,MAC000002,10.922
63,12/14/2012,MAC000002,10.584
64,12/15/2012,MAC000002,14.257
65,12/16/2012,MAC000002,16.497
66,12/17/2012,MAC000002,12.202
67,12/18/2012,MAC000002,10.255
68,12/19/2012,MAC000002,12.2650001
69,12/20/2012,MAC000002,11.122
70,12/21/2012,MAC000002,11.712
71,12/22/2012,MAC000002,17.932
72,12/23/2012,MAC000002,7.977
73,12/24/2012,MAC000002,4.983
74,12/25/2012,MAC000002,4.909
75,12/26/2012,MAC000002,7.65
76,12/27/2012,MAC000002,13.1460001
77,12/28/2012,MAC000002,11.157
78,12/29/2012,MAC000002,10.8
